Acartia,Centropages,Cyclopina,Harpacticoida,Microsetella,Oithona,Oncaea,Pseudodiaptomus,Paracalanus,Pseudocalanus.spp..female,Temora,Zaus,Edvane.spp.,Podon.spp.,Amphipoda,Chaetognatha..broken.,Echinodermata.Larva,Ectoprocta,Gastropoda.Eggs,Crustacea.Larva,Annelida.Larva,Cnidaria,Foraminiferida,Isopoda.larva,Mollusca.Bivalvia,Mysidacea..mysis.larva.,Polychaeta.larva,Ostracoda,Clione.limacina,Limacina.spp.,Position,Location,Input,Sample,Block 
56,0,6,132,4,13,0,4,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,18,t,Farm,+,Start,5
115,0,29,303,2,8,1,2,0,0,2,0,0,0,11,0,0,0,1,2,0,0,9,0,0,0,0,0,0,21,m,Farm,+,Start,5
39,0,23,595,3,5,0,3,0,0,2,0,0,0,3,0,0,0,0,2,0,0,4,0,0,1,3,0,1,22,b,Farm,+,Start,5
248,0,5,205,6,10,0,2,0,0,3,0,0,0,1,0,0,0,0,5,0,0,11,0,5,0,3,0,0,72,t,Farm,-,Start,5
125,0,4,99,2,13,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,1,4,0,27,m,Farm,-,Start,5
49,0,8,78,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,11,0,0,0,0,29,b,Farm,-,Start,5
226,0,22,414,6,43,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6,4,0,14,0,1,0,0,324,t,Control,+,Start,6
116,0,4,319,4,11,0,1,0,0,15,4,0,1,0,0,0,1,0,1,0,5,9,0,10,0,1,0,0,151,m,Control,+,Start,6
85,0,1,131,2,21,0,3,0,0,5,0,0,0,0,0,0,1,0,0,0,2,1,0,3,0,2,0,0,50,b,Control,+,Start,6
300,0,5,80,71,47,0,7,0,0,5,0,0,0,1,0,0,1,0,1,0,7,9,0,14,0,1,0,0,87,t,Control,-,Start,6
218,1,9,114,41,43,0,7,0,0,5,2,0,0,0,0,0,2,0,0,0,2,10,0,1,0,1,0,0,48,m,Control,-,Start,6
66,0,9,98,8,12,0,10,0,0,2,3,0,1,0,0,0,1,0,0,0,0,35,0,7,0,0,10,0,21,b,Control,-,Start,6
82,0,5,38,18,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,0,2,0,0,0,0,117,t,Farm,+,Start,6
35,0,11,96,4,11,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,0,1,0,14,m,Farm,+,Start,6
53,0,84,50,3,5,0,3,0,0,0,1,0,0,0,0,0,0,7,7,0,0,237,0,61,0,1,0,0,82,b,Farm,+,Start,6
20,0,4,35,4,6,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,8,0,3,0,0,0,0,8,t,Farm,-,Start,6
27,0,8,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,4,0,0,0,0,5,m,Farm,-,Start,6
22,0,0,25,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,14,0,9,0,0,0,0,0,b,Farm,-,Start,6
103,0,0,85,15,30,29,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,16,t,Control,+,End,4
154,0,0,153,6,15,23,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,21,m,Control,+,End,4
208,0,0,261,5,14,46,13,8,0,82,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,b,Control,+,End,4
154,2,5,92,5,18,0,2,0,0,8,2,0,0,3,0,0,0,0,1,0,0,1,0,0,0,2,1,0,11,t,Control,-,End,4
99,1,3,45,11,18,0,4,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13,m,Control,-,End,4
138,0,12,59,9,17,0,4,0,0,6,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,b,Control,-,End,4
7,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,t,Farm,+,End,4
12,0,2,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,6,m,Farm,+,End,4
1,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,168,0,24,0,0,0,0,46,b,Farm,+,End,4
21,0,0,23,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,6,t,Farm,-,End,4
12,0,0,26,2,1,0,1,0,0,3,0,0,0,4,0,0,0,1,0,0,0,11,0,2,0,0,0,0,5,m,Farm,-,End,4
9,0,4,51,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,b,Farm,-,End,4
405,2,6,44,31,29,0,2,0,0,5,0,0,0,1,0,0,0,0,1,0,0,2,1,3,0,0,0,0,68,t,Control,+,End,5
119,0,7,4,10,31,0,2,0,0,9,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,21,m,Control,+,End,5
88,0,23,55,19,88,0,12,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,b,Control,+,End,5
141,0,4,34,7,17,0,4,0,0,5,0,0,0,4,0,0,0,0,0,0,0,1,0,3,1,1,0,0,18,t,Control,-,End,5
90,0,15,44,9,21,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,8,m,Control,-,End,5
45,0,21,64,7,10,0,14,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,b,Control,-,End,5
4,0,3,30,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,7,t,Farm,+,End,5
8,0,5,47,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,m,Farm,+,End,5
10,0,6,83,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,1,0,0,0,0,4,b,Farm,+,End,5
12,0,4,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,t,Farm,-,End,5
17,0,4,27,2,0,0,2,0,0,0,0,0,0,5,0,0,0,2,1,0,0,4,0,0,0,0,0,0,7,m,Farm,-,End,5
3,0,16,83,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,7,0,0,76,0,20,0,0,1,0,115,b,Farm,-,End,5
149,0,9,78,1,14,0,2,0,0,10,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,1,0,0,53,t,Control,+,End,6
105,0,3,91,1,10,0,3,0,0,4,1,0,0,1,0,0,2,0,0,0,0,6,0,4,0,0,0,0,36,m,Control,+,End,6
38,0,0,75,1,2,0,12,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,b,Control,+,End,6
63,0,2,63,4,33,0,7,0,0,6,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,t,Control,-,End,6
147,0,2,66,5,27,0,8,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,28,m,Control,-,End,6
24,0,18,75,9,6,0,11,0,0,3,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,b,Control,-,End,6
1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,t,Farm,+,End,6
11,0,8,21,0,2,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0,0,0,0,5,m,Farm,+,End,6
2,0,0,19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,80,0,6,0,0,0,0,4,b,Farm,+,End,6
5,0,1,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,t,Farm,-,End,6
12,0,7,32,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,m,Farm,-,End,6
7,1,4,49,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,2,b,Farm,-,End,6
